hour,addtocart_pair_count,abandoned_pair_count,abandonment_rate
2015-05-03 03:00:00,26,21.0,80.76923076923077
2015-05-03 04:00:00,19,15.0,78.94736842105263
2015-05-03 05:00:00,17,14.0,82.35294117647058
2015-05-03 06:00:00,9,5.0,55.55555555555556
2015-05-03 08:00:00,2,2.0,100.0
2015-05-03 09:00:00,2,2.0,100.0
2015-05-03 10:00:00,1,1.0,100.0
2015-05-03 11:00:00,1,1.0,100.0
2015-05-03 12:00:00,6,6.0,100.0
2015-05-03 13:00:00,2,2.0,100.0
2015-05-03 14:00:00,5,3.0,60.0
2015-05-03 15:00:00,17,10.0,58.82352941176471
2015-05-03 16:00:00,20,13.0,65.0
2015-05-03 17:00:00,21,13.0,61.904761904761905
2015-05-03 18:00:00,14,11.0,78.57142857142857
2015-05-03 19:00:00,14,13.0,92.85714285714286
2015-05-03 20:00:00,28,21.0,75.0
2015-05-03 21:00:00,20,15.0,75.0
2015-05-03 22:00:00,31,22.0,70.96774193548387
2015-05-03 23:00:00,17,13.0,76.47058823529412
2015-05-04 00:00:00,29,19.0,65.51724137931035
2015-05-04 01:00:00,14,12.0,85.71428571428571
2015-05-04 02:00:00,24,22.0,91.66666666666666
2015-05-04 03:00:00,20,19.0,95.0
2015-05-04 04:00:00,38,35.0,92.10526315789474
2015-05-04 05:00:00,17,16.0,94.11764705882352
2015-05-04 06:00:00,19,13.0,68.42105263157895
2015-05-04 07:00:00,4,3.0,75.0
2015-05-04 08:00:00,4,2.0,50.0
2015-05-04 09:00:00,2,1.0,50.0
2015-05-04 12:00:00,6,6.0,100.0
2015-05-04 13:00:00,7,7.0,100.0
2015-05-04 14:00:00,9,5.0,55.55555555555556
2015-05-04 15:00:00,13,5.0,38.46153846153847
2015-05-04 16:00:00,22,14.0,63.63636363636363
2015-05-04 17:00:00,35,24.0,68.57142857142857
2015-05-04 18:00:00,34,16.0,47.05882352941176
2015-05-04 19:00:00,44,34.0,77.27272727272727
2015-05-04 20:00:00,37,26.0,70.27027027027027
2015-05-04 21:00:00,51,42.0,82.35294117647058
2015-05-04 22:00:00,42,29.0,69.04761904761905
2015-05-04 23:00:00,35,24.0,68.57142857142857
2015-05-05 00:00:00,33,27.0,81.81818181818183
2015-05-05 01:00:00,27,16.0,59.25925925925925
2015-05-05 02:00:00,17,12.0,70.58823529411765
2015-05-05 03:00:00,29,24.0,82.75862068965517
2015-05-05 04:00:00,21,15.0,71.42857142857143
2015-05-05 05:00:00,25,17.0,68.0
2015-05-05 06:00:00,6,6.0,100.0
2015-05-05 07:00:00,8,4.0,50.0
2015-05-05 08:00:00,1,1.0,100.0
2015-05-05 09:00:00,9,8.0,88.88888888888889
2015-05-05 10:00:00,2,1.0,50.0
2015-05-05 11:00:00,1,1.0,100.0
2015-05-05 12:00:00,2,1.0,50.0
2015-05-05 13:00:00,5,3.0,60.0
2015-05-05 14:00:00,15,11.0,73.33333333333333
2015-05-05 15:00:00,19,14.0,73.68421052631578
2015-05-05 16:00:00,27,11.0,40.74074074074074
2015-05-05 17:00:00,36,23.0,63.888888888888886
2015-05-05 18:00:00,48,21.0,43.75
2015-05-05 19:00:00,37,24.0,64.86486486486487
2015-05-05 20:00:00,50,38.0,76.0
2015-05-05 21:00:00,15,6.0,40.0
2015-05-05 22:00:00,34,22.0,64.70588235294117
2015-05-05 23:00:00,59,38.0,64.40677966101694
2015-05-06 00:00:00,43,28.0,65.11627906976744
2015-05-06 01:00:00,32,19.0,59.375
2015-05-06 02:00:00,26,21.0,80.76923076923077
2015-05-06 03:00:00,27,21.0,77.77777777777779
2015-05-06 04:00:00,25,16.0,64.0
2015-05-06 05:00:00,26,24.0,92.3076923076923
2015-05-06 06:00:00,15,10.0,66.66666666666666
2015-05-06 07:00:00,4,4.0,100.0
2015-05-06 08:00:00,8,8.0,100.0
2015-05-06 09:00:00,3,3.0,100.0
2015-05-06 10:00:00,5,1.0,20.0
2015-05-06 11:00:00,4,2.0,50.0
2015-05-06 12:00:00,4,4.0,100.0
2015-05-06 13:00:00,11,9.0,81.81818181818183
2015-05-06 14:00:00,14,9.0,64.28571428571429
2015-05-06 15:00:00,37,16.0,43.24324324324324
2015-05-06 16:00:00,41,23.0,56.09756097560976
2015-05-06 17:00:00,59,36.0,61.016949152542374
2015-05-06 18:00:00,35,20.0,57.14285714285714
2015-05-06 19:00:00,43,25.0,58.139534883720934
2015-05-06 20:00:00,32,16.0,50.0
2015-05-06 21:00:00,38,28.0,73.68421052631578
2015-05-06 22:00:00,26,16.0,61.53846153846154
2015-05-06 23:00:00,38,19.0,50.0
2015-05-07 00:00:00,27,15.0,55.55555555555556
2015-05-07 01:00:00,23,14.0,60.86956521739131
2015-05-07 02:00:00,30,20.0,66.66666666666666
2015-05-07 03:00:00,27,24.0,88.88888888888889
2015-05-07 04:00:00,23,19.0,82.6086956521739
2015-05-07 05:00:00,17,13.0,76.47058823529412
2015-05-07 06:00:00,11,5.0,45.45454545454545
2015-05-07 07:00:00,8,5.0,62.5
2015-05-07 08:00:00,4,4.0,100.0
2015-05-07 12:00:00,2,2.0,100.0
2015-05-07 13:00:00,7,3.0,42.857142857142854
2015-05-07 14:00:00,10,9.0,90.0
2015-05-07 15:00:00,26,10.0,38.46153846153847
2015-05-07 16:00:00,27,18.0,66.66666666666666
2015-05-07 17:00:00,38,24.0,63.1578947368421
2015-05-07 18:00:00,51,38.0,74.50980392156863
2015-05-07 19:00:00,62,39.0,62.903225806451616
2015-05-07 20:00:00,40,23.0,57.49999999999999
2015-05-07 21:00:00,37,24.0,64.86486486486487
2015-05-07 22:00:00,26,14.0,53.84615384615385
2015-05-07 23:00:00,18,13.0,72.22222222222221
2015-05-08 00:00:00,26,21.0,80.76923076923077
2015-05-08 01:00:00,28,22.0,78.57142857142857
2015-05-08 02:00:00,37,13.0,35.13513513513514
2015-05-08 03:00:00,24,15.0,62.5
2015-05-08 04:00:00,17,15.0,88.23529411764706
2015-05-08 05:00:00,18,15.0,83.33333333333334
2015-05-08 06:00:00,14,12.0,85.71428571428571
2015-05-08 07:00:00,3,3.0,100.0
2015-05-08 08:00:00,5,5.0,100.0
2015-05-08 10:00:00,4,4.0,100.0
2015-05-08 11:00:00,1,1.0,100.0
2015-05-08 12:00:00,5,5.0,100.0
2015-05-08 13:00:00,30,30.0,100.0
