hour,addtocart_count,transaction_count,view_count,total_event_count
2015-05-03 03:00:00,31,2,989,1022
2015-05-03 04:00:00,20,6,912,938
2015-05-03 05:00:00,17,5,794,816
2015-05-03 06:00:00,9,2,555,566
2015-05-03 07:00:00,0,4,197,201
2015-05-03 08:00:00,2,1,165,168
2015-05-03 09:00:00,2,0,112,114
2015-05-03 10:00:00,1,0,94,95
2015-05-03 11:00:00,1,0,106,107
2015-05-03 12:00:00,7,0,160,167
2015-05-03 13:00:00,2,0,285,287
2015-05-03 14:00:00,5,2,447,454
2015-05-03 15:00:00,17,7,681,705
2015-05-03 16:00:00,23,11,797,831
2015-05-03 17:00:00,23,9,894,926
2015-05-03 18:00:00,15,4,972,991
2015-05-03 19:00:00,14,1,984,999
2015-05-03 20:00:00,30,8,946,984
2015-05-03 21:00:00,20,6,1058,1084
2015-05-03 22:00:00,32,10,1097,1139
2015-05-03 23:00:00,25,5,1059,1089
2015-05-04 00:00:00,32,11,1072,1115
2015-05-04 01:00:00,14,3,979,996
2015-05-04 02:00:00,30,2,1052,1084
2015-05-04 03:00:00,25,5,1050,1080
2015-05-04 04:00:00,40,5,1101,1146
2015-05-04 05:00:00,19,2,970,991
2015-05-04 06:00:00,24,6,606,636
2015-05-04 07:00:00,4,1,331,336
2015-05-04 08:00:00,4,1,153,158
2015-05-04 09:00:00,2,0,166,168
2015-05-04 10:00:00,0,0,111,111
2015-05-04 11:00:00,0,0,122,122
2015-05-04 12:00:00,9,0,185,194
2015-05-04 13:00:00,9,0,301,310
2015-05-04 14:00:00,10,3,456,469
2015-05-04 15:00:00,14,6,750,770
2015-05-04 16:00:00,23,8,972,1003
2015-05-04 17:00:00,42,13,1187,1242
2015-05-04 18:00:00,36,19,1251,1306
2015-05-04 19:00:00,47,13,1192,1252
2015-05-04 20:00:00,39,14,1098,1151
2015-05-04 21:00:00,59,10,1258,1327
2015-05-04 22:00:00,57,17,1196,1270
2015-05-04 23:00:00,40,15,1122,1177
2015-05-05 00:00:00,33,5,1145,1183
2015-05-05 01:00:00,29,15,1293,1337
2015-05-05 02:00:00,17,7,1388,1412
2015-05-05 03:00:00,31,5,1313,1349
2015-05-05 04:00:00,23,11,1212,1246
2015-05-05 05:00:00,25,12,1005,1042
2015-05-05 06:00:00,6,1,591,598
2015-05-05 07:00:00,10,3,305,318
2015-05-05 08:00:00,2,1,179,182
2015-05-05 09:00:00,9,0,116,125
2015-05-05 10:00:00,2,1,96,99
