window_start,window_end,event_count,addtocart_count,transaction_count,estimated_abandoned_count,estimated_abandonment_rate,top_5_abandoned_item_ids,alert_status
2015-06-01 06:00:00,2015-06-01 06:05:00,47,0,0,0,0.0,[],NORMAL
2015-06-01 06:01:00,2015-06-01 06:06:00,51,0,0,0,0.0,[],NORMAL
2015-06-01 06:02:00,2015-06-01 06:07:00,49,0,0,0,0.0,[],NORMAL
2015-06-01 06:03:00,2015-06-01 06:08:00,41,0,0,0,0.0,[],NORMAL
2015-06-01 06:04:00,2015-06-01 06:09:00,42,0,0,0,0.0,[],NORMAL
2015-06-01 06:05:00,2015-06-01 06:10:00,49,0,0,0,0.0,[],NORMAL
2015-06-01 06:06:00,2015-06-01 06:11:00,49,0,0,0,0.0,[],NORMAL
2015-06-01 06:07:00,2015-06-01 06:12:00,45,1,0,1,100.0,"[""381613""]",HIGH_RISK
2015-06-01 06:08:00,2015-06-01 06:13:00,48,1,0,1,100.0,"[""381613""]",HIGH_RISK
2015-06-01 06:09:00,2015-06-01 06:14:00,43,1,0,1,100.0,"[""381613""]",HIGH_RISK
2015-06-01 06:10:00,2015-06-01 06:15:00,42,1,0,1,100.0,"[""381613""]",HIGH_RISK
2015-06-01 06:11:00,2015-06-01 06:16:00,49,2,0,2,100.0,"[""381613"", ""220183""]",HIGH_RISK
2015-06-01 06:12:00,2015-06-01 06:17:00,64,1,1,1,100.0,"[""220183""]",HIGH_RISK
2015-06-01 06:13:00,2015-06-01 06:18:00,60,1,1,1,100.0,"[""220183""]",HIGH_RISK
2015-06-01 06:14:00,2015-06-01 06:19:00,68,1,1,1,100.0,"[""220183""]",HIGH_RISK
2015-06-01 06:15:00,2015-06-01 06:20:00,63,1,1,1,100.0,"[""220183""]",HIGH_RISK
2015-06-01 06:16:00,2015-06-01 06:21:00,56,0,1,0,0.0,[],NORMAL
2015-06-01 06:17:00,2015-06-01 06:22:00,44,0,0,0,0.0,[],NORMAL
2015-06-01 06:18:00,2015-06-01 06:23:00,54,0,0,0,0.0,[],NORMAL
2015-06-01 06:19:00,2015-06-01 06:24:00,50,0,0,0,0.0,[],NORMAL
2015-06-01 06:20:00,2015-06-01 06:25:00,49,0,0,0,0.0,[],NORMAL
2015-06-01 06:21:00,2015-06-01 06:26:00,47,0,0,0,0.0,[],NORMAL
2015-06-01 06:22:00,2015-06-01 06:27:00,57,0,0,0,0.0,[],NORMAL
2015-06-01 06:23:00,2015-06-01 06:28:00,53,0,0,0,0.0,[],NORMAL
2015-06-01 06:24:00,2015-06-01 06:29:00,50,0,0,0,0.0,[],NORMAL
2015-06-01 06:25:00,2015-06-01 06:30:00,53,1,0,1,100.0,"[""102573""]",HIGH_RISK
2015-06-01 06:26:00,2015-06-01 06:31:00,56,1,0,1,100.0,"[""102573""]",HIGH_RISK
2015-06-01 06:27:00,2015-06-01 06:32:00,46,1,0,1,100.0,"[""102573""]",HIGH_RISK
